clx,pred_sr,prob
1,tak,0.9948
1,ta,0.0016
1,tk,0.0012
1,ak,0.0012
1,dak,0.0004
1,aak,0.0004
1,tgk,0.0004
1-A,taga,0.9864
1-A,taka,0.0088
1-A,taa,0.0012
1-A,aga,0.0012
1-A,tga,0.0008
1-A,daga,0.0004
1-A,aaga,0.0004
1-A,taaa,0.0004
1-A,tgga,0.0004
2,tak,0.9944
2,ta,0.0024
2,ak,0.0012
2,tk,0.0004
2,tdk,0.0004
2,gak,0.0004
2,ttk,0.0004
2,aak,0.0004
2-A,taka,0.9868
2-A,taga,0.0076
2-A,taa,0.0028
2-A,aka,0.0008
2-A,aaka,0.0008
2-A,tka,0.0004
2-A,tdka,0.0004
2-A,gaka,0.0004
3,tat,0.9936
3,ta,0.0024
3,tt,0.002
3,tgt,0.0008
3,tdt,0.0004
3,at,0.0004
3,aat,0.0004
3-A,tada,0.9876
3-A,tata,0.0064
3-A,tda,0.0016
3-A,taa,0.0016
3-A,tgda,0.0008
3-A,tdda,0.0004
3-A,ada,0.0004
3-A,ttda,0.0004
3-A,aada,0.0004
3-A,atada,0.0004
4,tat,0.9892
4,tt,0.004
4,ta,0.0036
4,at,0.0028
4,kat,0.0004
4-A,tata,0.982
4-A,tada,0.0068
4-A,tta,0.0044
4-A,taa,0.0032
4-A,ata,0.0028
4-A,kata,0.0004
4-A,gata,0.0004
5,kak,0.5724
5,ka,0.0976
5,ak,0.0888
5,kk,0.0856
5,k,0.0432
5,a,0.0176
5,kat,0.0108
5,,0.0084
5,aak,0.008
5,kkk,0.0072
5,dak,0.0072
5,ktk,0.006
5,tak,0.006
5,kdk,0.006
5,kaa,0.0052
5,gak,0.0036
5,kgk,0.0036
5,at,0.0032
5,dk,0.0024
5,kt,0.002
5,ga,0.002
5,kagk,0.0012
5,t,0.0012
5,aa,0.0012
5,kgak,0.0008
5,kadk,0.0008
5,tk,0.0008
5,ktak,0.0008
5,gk,0.0008
5,ggk,0.0004
5,da,0.0004
5,kaak,0.0004
5,kagt,0.0004
5,dkak,0.0004
5,gkgk,0.0004
5,akak,0.0004
5,kgt,0.0004
5,aka,0.0004
5,kkak,0.0004
5,tkak,0.0004
5,ta,0.0004
5,katk,0.0004
5,gkak,0.0004
5-A,kaga,0.6044
5-A,kaa,0.0884
5-A,aga,0.088
5-A,kga,0.0864
5-A,ka,0.0164
5-A,aa,0.0156
5-A,ga,0.0132
5-A,aaga,0.008
5-A,daga,0.0072
5-A,ktga,0.006
5-A,kkga,0.0056
5-A,kata,0.0052
5-A,kada,0.0052
5-A,kaka,0.0052
5-A,kdga,0.0052
5-A,kaaa,0.0048
5-A,taga,0.0048
5-A,kgga,0.004
5-A,gaga,0.004
5-A,a,0.004
5-A,gaa,0.002
5-A,dga,0.0016
5-A,kka,0.0012
5-A,ata,0.0012
5-A,ada,0.0008
5-A,kagga,0.0008
5-A,daa,0.0008
5-A,kgaga,0.0008
5-A,kda,0.0008
5-A,aaa,0.0008
5-A,tga,0.0008
5-A,ktaga,0.0008
5-A,kaaga,0.0004
5-A,kta,0.0004
5-A,kagta,0.0004
5-A,kadga,0.0004
5-A,gkgga,0.0004
5-A,kakga,0.0004
5-A,taka,0.0004
5-A,akaga,0.0004
5-A,kgda,0.0004
5-A,kkaga,0.0004
5-A,ta,0.0004
5-A,tkaga,0.0004
5-A,gga,0.0004
5-A,taa,0.0004
5-A,gkaga,0.0004
6,kat,0.576
6,ka,0.0928
6,kt,0.0868
6,at,0.0868
6,a,0.0224
6,k,0.0212
6,t,0.0184
6,kak,0.0148
6,,0.008
6,dat,0.0076
6,kkt,0.006
6,gat,0.006
6,kaa,0.0056
6,tat,0.0052
6,kgt,0.0052
6,aat,0.0052
6,ktt,0.0052
6,kdt,0.004
6,kk,0.0032
6,ak,0.0024
6,ta,0.0012
6,tt,0.0012
6,tkat,0.0008
6,kadt,0.0008
6,akt,0.0008
6,kkat,0.0008
6,da,0.0008
6,aa,0.0008
6,gkat,0.0008
6,akat,0.0008
6,dt,0.0008
6,katt,0.0008
6,dkt,0.0004
6,dkaat,0.0004
6,ga,0.0004
6,tka,0.0004
6,aka,0.0004
6,kagt,0.0004
6,kgat,0.0004
6,kada,0.0004
6,kkda,0.0004
6,kdk,0.0004
6,dakt,0.0004
6,kakt,0.0004
6,ktat,0.0004
6,aaa,0.0004
6,dkat,0.0004
6,ggt,0.0004
6,dk,0.0004
6-A,kada,0.608
6-A,kaa,0.0852
6-A,ada,0.0848
6-A,kda,0.0828
6-A,aa,0.018
6-A,ka,0.0176
6-A,da,0.016
6-A,kaka,0.0072
6-A,dada,0.0072
6-A,kaga,0.006
6-A,a,0.0056
6-A,gada,0.0056
6-A,kkda,0.0052
6-A,kgda,0.0052
6-A,ktda,0.0052
6-A,tada,0.0048
6-A,kata,0.0048
6-A,aada,0.0048
6-A,kaaa,0.004
6-A,kdda,0.0036
6-A,kga,0.0012
6-A,taa,0.0012
6-A,kka,0.0012
6-A,kta,0.0012
6-A,tkada,0.0008
6-A,tda,0.0008
6-A,daa,0.0008
6-A,aaa,0.0008
6-A,aga,0.0008
6-A,gkada,0.0008
6-A,ata,0.0008
6-A,kakda,0.0008
6-A,kadda,0.0004
6-A,gaa,0.0004
6-A,data,0.0004
6-A,akaa,0.0004
6-A,kagda,0.0004
6-A,ga,0.0004
6-A,kgada,0.0004
6-A,kkada,0.0004
6-A,kadaa,0.0004
6-A,kdga,0.0004
6-A,dda,0.0004
6-A,ta,0.0004
6-A,akada,0.0004
6-A,dakda,0.0004
6-A,katda,0.0004
6-A,aaaa,0.0004
6-A,aka,0.0004
6-A,ggda,0.0004
7,kak,0.5796
7,kk,0.1004
7,ka,0.092
7,ak,0.0892
7,k,0.0236
7,a,0.0152
7,kat,0.0128
7,aak,0.0088
7,kkk,0.008
7,kgk,0.0072
7,ktk,0.0068
7,,0.0064
7,tak,0.0052
7,dak,0.0052
7,kdk,0.0048
7,gak,0.0048
7,kaa,0.004
7,at,0.0032
7,kgak,0.0024
7,kt,0.002
7,ga,0.0016
7,gk,0.0016
7,akk,0.0012
7,akt,0.0012
7,tkak,0.0012
7,aa,0.0012
7,kaak,0.0008
7,tk,0.0008
7,ktak,0.0008
7,t,0.0008
7,tka,0.0004
7,kda,0.0004
7,ta,0.0004
7,gkak,0.0004
7,akak,0.0004
7,dk,0.0004
7,dtk,0.0004
7,dkak,0.0004
7,kdt,0.0004
7,katk,0.0004
7,kadk,0.0004
7,ttk,0.0004
7,dgk,0.0004
7,aka,0.0004
7,da,0.0004
7,gaa,0.0004
7,kakt,0.0004
7,kagk,0.0004
7-A,kaka,0.6096
7-A,kka,0.098
7-A,aka,0.0876
