1,ikik,1
1:A,,1
1:B,,1
1:B:A,,1
2,ikik,1
2:A,,1
2:B,,1
2:B:A,,1
3,ikik,1
3:A,,1
3:B,,1
3:B:A,,1
4,ikik,1
4:A,,1
4:B,,1
4:B:A,,1
5,ikik,1
5:A,,1
5:B,,1
5:B:A,,1
6,ikik,1
6:A,,1
6:B,,1
6:B:A,,1
7,ikik,1
7:A,,1
7:B,,1
7:B:A,,1
8,ikik,1
8:A,,1
8:B,,1
8:B:A,,1
9,ikak,1
9:A,ikaka,1
9:B,ikaki,1
9:B:A,ikaka,1
10,ikak,1
10:A,ikaka,1
10:B,ikaki,1
10:B:A,ikaka,1
11,ikak,1
11:A,ikaka,1
11:B,ikaki,1
11:B:A,ikaka,1
12,ikak,1
12:A,ikaka,1
12:B,ikaki,1
12:B:A,ikaka,1
13,ikak,1
13:A,ikaka,1
13:B,ikaki,1
13:B:A,ikaka,1
14,ikak,1
14:A,ikaka,1
14:B,ikaki,1
14:B:A,ikaka,1
15,ikak,1
15:A,ikaka,1
15:B,ikaki,1
15:B:A,ikaka,1
16,ikak,1
16:A,ikaka,1
16:B,ikaki,1
16:B:A,ikaka,1
17,ikit,1
17:A,,1
17:B,,1
17:B:A,,1
18,ikit,1
18:A,,1
18:B,,1
18:B:A,,1
19,ikit,1
19:A,,1
19:B,,1
19:B:A,,1
20,ikit,1
20:A,,1
20:B,,1
20:B:A,,1
21,ikit,1
21:A,,1
21:B,,1
21:B:A,,1
22,ikit,1
22:A,,1
22:B,,1
22:B:A,,1
23,ikit,1
23:A,,1
23:B,,1
23:B:A,,1
24,ikit,1
24:A,,1
24:B,,1
24:B:A,,1
25,ikat,1
25:A,ikata,1
25:B,ikaci,1
25:B:A,ikata,1
26,ikat,1
26:A,ikata,1
26:B,ikaci,1
26:B:A,ikata,1
27,ikat,1
27:A,ikata,1
27:B,ikaci,1
27:B:A,ikata,1
28,ikat,1
28:A,ikata,1
28:B,ikaci,1
28:B:A,ikata,1
29,ikat,1
29:A,ikata,1
29:B,ikaci,1
29:B:A,ikata,1
30,ikat,1
30:A,ikata,1
30:B,ikaci,1
30:B:A,ikata,1
31,ikat,1
31:A,ikata,1
31:B,ikaci,1
31:B:A,ikata,1
32,ikat,1
32:A,ikata,1
32:B,ikaci,1
32:B:A,ikata,1
