clx,pred_sr,prob
1,tak,0.99
1,ta,0.0024
1,ak,0.002
1,tk,0.0016
1,tat,0.0012
1,kak,0.0004
1,tkk,0.0004
1,dtak,0.0004
1,aak,0.0004
1,tgak,0.0004
1,tgk,0.0004
1,dak,0.0004
1-A,taga,0.9804
1-A,taka,0.0096
1-A,taa,0.0024
1-A,aga,0.002
1-A,tga,0.0016
1-A,tada,0.0012
1-A,kaga,0.0004
1-A,tkga,0.0004
1-A,dtaga,0.0004
1-A,aaga,0.0004
1-A,tgaga,0.0004
1-A,tgga,0.0004
1-A,daga,0.0004
2,tak,0.9944
2,tk,0.002
2,ak,0.0012
2,tgk,0.0008
2,ta,0.0008
2,dak,0.0004
2,tatk,0.0004
2-A,taka,0.982
2-A,taga,0.0124
2-A,tka,0.002
2-A,aka,0.0012
2-A,tgka,0.0008
2-A,taa,0.0008
2-A,daka,0.0004
2-A,tatka,0.0004
3,tat,0.9948
3,tt,0.0012
3,ta,0.0012
3,tak,0.0008
3,at,0.0008
3,aat,0.0004
3,gat,0.0004
3,ttt,0.0004
3-A,tada,0.988
3-A,tata,0.0068
3-A,taa,0.0012
3-A,taga,0.0008
3-A,tda,0.0008
3-A,ada,0.0008
3-A,tta,0.0004
3-A,aada,0.0004
3-A,gada,0.0004
3-A,ttda,0.0004
4,tat,0.9952
4,at,0.0016
4,ta,0.0008
4,tt,0.0008
4,tatt,0.0004
4,tak,0.0004
4,dat,0.0004
4,taa,0.0004
4-A,tata,0.9832
4-A,tada,0.012
4-A,ata,0.0016
4-A,taa,0.0008
4-A,tatta,0.0004
4-A,taga,0.0004
4-A,data,0.0004
4-A,taaa,0.0004
4-A,tda,0.0004
4-A,tta,0.0004
5,kak,0.6496
5,kk,0.0876
5,ak,0.0688
5,ka,0.0668
5,kat,0.0172
5,k,0.0152
5,a,0.0092
5,tak,0.0076
5,kkk,0.0068
5,dak,0.0068
5,kaa,0.0068
5,kdk,0.0064
5,gak,0.006
5,kgk,0.006
5,ktk,0.0056
5,aak,0.0044
5,kagt,0.0028
5,gk,0.0024
5,kt,0.002
5,da,0.002
5,katk,0.0012
5,at,0.0012
5,ktak,0.0012
5,ga,0.0008
5,gkak,0.0008
5,tkak,0.0008
5,dkak,0.0008
5,aa,0.0008
5,kadk,0.0008
5,,0.0008
5,akak,0.0008
5,aka,0.0008
5,ta,0.0004
5,tat,0.0004
5,aga,0.0004
5,tagk,0.0004
5,gadk,0.0004
5,dk,0.0004
5,ktt,0.0004
5,ggk,0.0004
5,kaga,0.0004
5,ktga,0.0004
5,tk,0.0004
5,kga,0.0004
5,taa,0.0004
5,kkt,0.0004
5,aadk,0.0004
5,t,0.0004
5,ttk,0.0004
5,kakk,0.0004
5,agt,0.0004
5,kagk,0.0004
5,dkk,0.0004
5,kka,0.0004
5,aat,0.0004
5-A,kaga,0.6484
5-A,kga,0.086
5-A,aga,0.0668
5-A,kaa,0.0652
5-A,kata,0.0104
5-A,aa,0.0088
5-A,ga,0.008
5-A,ka,0.0076
5-A,taga,0.0076
5-A,kkga,0.0068
5-A,daga,0.0068
5-A,kaka,0.0068
5-A,kada,0.0068
5-A,kaaa,0.0064
5-A,kgga,0.0064
5-A,gaga,0.006
5-A,kdga,0.006
5-A,ktga,0.0056
5-A,aaga,0.004
5-A,gga,0.0024
5-A,kagta,0.002
5-A,daa,0.002
5-A,katga,0.0012
5-A,kda,0.0012
5-A,ktaga,0.0012
5-A,gaa,0.0008
5-A,kta,0.0008
5-A,gkaga,0.0008
5-A,tkaga,0.0008
5-A,ada,0.0008
5-A,dkaga,0.0008
5-A,aaa,0.0008
5-A,kadga,0.0008
5-A,a,0.0008
5-A,kagda,0.0008
5-A,akaga,0.0008
5-A,akaa,0.0008
5-A,taa,0.0004
5-A,tata,0.0004
5-A,agaa,0.0004
5-A,tagka,0.0004
5-A,ata,0.0004
5-A,gadga,0.0004
5-A,dga,0.0004
5-A,ktda,0.0004
5-A,ggga,0.0004
5-A,kagaa,0.0004
5-A,ktgaa,0.0004
5-A,tga,0.0004
5-A,kgaa,0.0004
5-A,taaa,0.0004
5-A,aka,0.0004
5-A,kkda,0.0004
5-A,aadga,0.0004
5-A,ta,0.0004
5-A,ttga,0.0004
5-A,kakga,0.0004
5-A,agda,0.0004
5-A,kagga,0.0004
5-A,dkga,0.0004
5-A,kkaa,0.0004
5-A,aata,0.0004
6,kat,0.6112
6,at,0.0932
6,kt,0.0768
6,ka,0.0724
6,kak,0.018
6,k,0.0108
6,gat,0.01
6,t,0.0092
6,dat,0.0088
6,kaa,0.0088
6,a,0.0088
6,kdt,0.008
6,kkt,0.0072
6,kgt,0.0072
6,ktt,0.0056
6,tat,0.0048
6,aat,0.0048
6,kadk,0.0028
6,kk,0.0024
6,ak,0.0024
6,kagt,0.002
6,kadt,0.002
6,tt,0.0016
6,kada,0.0016
6,,0.0016
6,kgat,0.0012
6,ta,0.0012
6,tkat,0.0012
6,ga,0.0012
6,kkat,0.0012
6,kakt,0.0008
6,dkat,0.0008
6,ktat,0.0008
6,gdt,0.0008
6,dt,0.0008
6,tgt,0.0008
6,dak,0.0008
6,aa,0.0004
6,gt,0.0004
6,ada,0.0004
6,kga,0.0004
6,aka,0.0004
6,kdat,0.0004
6,kaat,0.0004
6,kka,0.0004
6,da,0.0004
6,aak,0.0004
6,akat,0.0004
6,gkt,0.0004
6,gkat,0.0004
6,kdk,0.0004
6,ttt,0.0004
6,taat,0.0004
6-A,kada,0.6112
6-A,ada,0.0916
6-A,kda,0.0764
6-A,kaa,0.072
6-A,ka,0.01
6-A,kaga,0.01
6-A,gada,0.0096
6-A,da,0.0092
6-A,dada,0.0088
6-A,kaaa,0.0088
6-A,aa,0.0084
6-A,kaka,0.0076
6-A,kdda,0.0076
6-A,kgda,0.0072
6-A,kkda,0.0068
6-A,ktda,0.0056
6-A,tada,0.0052
6-A,kata,0.0052
6-A,aada,0.0048
6-A,kagda,0.002
6-A,kadga,0.0016
6-A,aka,0.0016
6-A,kka,0.0016
6-A,kadda,0.0016
6-A,kadaa,0.0012
6-A,kgada,0.0012
6-A,a,0.0012
6-A,taa,0.0012
6-A,tkada,0.0012
6-A,gaa,0.0012
6-A,kadka,0.0012
6-A,tda,0.0012
6-A,kkada,0.0012
6-A,kakda,0.0008
6-A,kga,0.0008
6-A,ktada,0.0008
6-A,gdda,0.0008
6-A,dda,0.0008
6-A,aga,0.0008
6-A,aaa,0.0004
6-A,gda,0.0004
6-A,adaa,0.0004
6-A,kgaa,0.0004
6-A,akaa,0.0004
6-A,ata,0.0004
6-A,kdta,0.0004
6-A,kaada,0.0004
6-A,kkaa,0.0004
6-A,kta,0.0004
6-A,daa,0.0004
6-A,tgda,0.0004
6-A,dkada,0.0004
6-A,aaga,0.0004
6-A,kadta,0.0004
6-A,daga,0.0004
6-A,akada,0.0004
6-A,tgta,0.0004
6-A,gata,0.0004
6-A,gkda,0.0004
6-A,kkta,0.0004
6-A,gkada,0.0004
6-A,kdka,0.0004
6-A,ttda,0.0004
6-A,daka,0.0004
7,kak,0.6328
7,ak,0.086
7,kk,0.0812
7,ka,0.0764
7,kat,0.016
7,dak,0.0092
7,aak,0.0088
7,k,0.0088
7,a,0.008
7,ktk,0.0076
7,kkk,0.0076
7,kdk,0.0076
7,kgk,0.0068
7,gak,0.006
7,tak,0.006
7,kaa,0.0044
7,at,0.0028
7,kakk,0.0024
7,kagk,0.0016
7,kt,0.0016
7,,0.0016
7,aa,0.0016
7,dk,0.0012
7,tk,0.0012
7,ta,0.0008
7,akak,0.0008
7,akk,0.0008
7,gkak,0.0008
7,kakt,0.0008
7,kgak,0.0008
7,kdak,0.0008
7,kadk,0.0008
7,tkak,0.0008
7,ddkak,0.0004
7,taak,0.0004
7,agk,0.0004
7,dkak,0.0004
7,aat,0.0004
7,tdk,0.0004
7,da,0.0004
7,gk,0.0004
7,tgak,0.0004
7,kkat,0.0004
7,ga,0.0004
7,katk,0.0004
7,atak,0.0004
7,kaka,0.0004
7-A,kaka,0.63
7-A,aka,0.084
7-A,kka,0.0804
7-A,kaa,0.0764
7-A,aa,0.0088
7-A,daka,0.0088
7-A,aaka,0.0084
7-A,ka,0.008
7-A,kata,0.008
7-A,ktka,0.0076
7-A,kkka,0.0076
7-A,kdka,0.0076
7-A,kada,0.0076
7-A,kgka,0.0068
7-A,taka,0.0064
7-A,kaga,0.0056
7-A,gaka,0.0056
7-A,kaaa,0.0044
7-A,kakka,0.002
7-A,kagka,0.0016
7-A,ada,0.0016
7-A,dka,0.0012
7-A,tka,0.0012
7-A,a,0.0012
7-A,aaa,0.0012
